±¸¹Ì°ü¸Áµµ TEST v3
Network Table - Nodes
                        	Elevation       	Base Demand     	Initial Quality 	Demand          	Head            	Pressure        	Quality         
 Node ID                	m               	CMD             	                	CMD             	m               	m               	                
Junc B207               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B208               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B209               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B210               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B301               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B302               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B303               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B304               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B305               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B306               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B307               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B308               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B309               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B310               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B311               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B312               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B313               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B314               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B315               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B316               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B317               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B318               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B319               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B320               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B321               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B322               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B323               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B324               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B325               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B326               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B327               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B328               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B329               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B330               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B331               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B332               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B333               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B334               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B335               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B336               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B337               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B338               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B339               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B340               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B341               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B342               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B343               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B344               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B401               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B402               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B403               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B404               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B405               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B406               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B407               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B408               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B409               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B410               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B411               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B412               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Resvr 1                 	100.00          	#N/A            	0               	0.00            	100.00          	0.00            	0.00            
